Density,leniency,index,performance
14,3,0,0.0
14,3,1,0.0
7,1,0,0.0
7,1,1,0.0
7,1,2,0.09999999999999998
1,9,0,0.0
1,9,1,0.0
1,9,2,0.0
2,3,0,0.0
2,3,1,0.0
2,3,2,0.17105263157894735
5,5,0,0.0
5,5,1,0.0
5,5,2,0.0
8,0,0,0.0
8,0,1,0.0
8,0,2,0.0
2,4,0,0.0
2,4,1,0.0
2,4,2,0.45999999999999996
1,6,0,0.0
1,6,1,0.0
1,6,2,0.0
8,2,0,0.0
8,2,1,0.0
8,2,2,0.0
4,2,0,0.0
4,2,1,0.0
4,2,2,0.0
6,5,0,0.0
6,5,1,0.0
6,5,2,0.0
3,4,0,0.0
3,4,1,0.0
3,4,2,0.0
3,3,0,0.0
3,3,1,0.0
3,3,2,0.0
7,0,0,0.0
7,0,1,0.0
7,0,2,0.0
5,1,0,0.0
5,1,1,0.0
5,1,2,0.09999999999999998
2,2,0,0.0
2,2,1,0.0
2,2,2,0.2421052631578947
2,7,0,0.0
2,7,1,0.0
2,7,2,0.0
10,3,0,0.0
10,3,1,0.0
10,3,2,0.0
3,1,0,0.0
3,1,1,0.0
3,1,2,0.0
11,2,0,0.0
0,6,0,0.0
0,6,1,0.0
0,6,2,0.0
5,7,0,0.0
5,7,1,0.0
5,7,2,0.0
1,10,0,0.0
1,10,1,0.1947368421052631
1,10,2,0.0
10,1,0,0.0
10,1,1,0.0
10,1,2,0.12368421052631584
5,0,0,0.0
5,0,1,0.0
5,0,2,0.0
14,1,0,0.0
14,1,1,0.0
14,1,2,0.09999999999999998
6,1,0,0.0
6,1,1,0.0
6,1,2,0.0
12,2,0,0.0
12,2,1,0.0
12,2,2,0.0
2,1,0,0.0
2,1,1,0.0
2,1,2,0.0
5,3,0,0.0
5,3,1,0.0
5,3,2,0.09999999999999998
2,0,0,0.0
2,0,1,0.0
2,0,2,0.0
1,2,0,0.0
1,2,1,0.0
1,2,2,0.0
6,2,0,0.0
6,2,1,0.0
6,2,2,0.0
0,13,0,0.0
0,13,1,0.0
0,13,2,0.0
11,3,0,0.4
11,3,1,0.5105263157894737
4,6,0,0.0
4,6,1,0.0
4,6,2,0.0
0,4,0,0.0
0,4,1,0.0
0,4,2,0.0
2,9,0,0.0
2,9,1,0.0
2,9,2,0.0
4,0,0,0.0
4,0,1,0.0
4,0,2,0.0
7,3,0,0.0
7,3,1,0.0
4,4,0,0.0
4,4,1,0.0
