linearity,leniency,index,performance
4,2,0,0.0
4,2,1,0.0
4,2,2,0.0
3,1,0,0.0
3,1,1,0.0
3,1,2,0.0
3,4,0,0.0
3,4,1,0.0
3,4,2,0.0
4,5,0,0.0
4,5,1,0.0
4,5,2,1.0
15,0,0,0.0
5,10,0,0.0
5,10,1,0.0
5,10,2,4.0
2,1,0,0.0
2,1,1,0.0
2,1,2,0.0
3,8,0,0.0
3,8,1,0.0
3,8,2,2.0
5,1,0,0.0
5,1,1,0.0
5,1,2,0.0
5,4,0,0.0
5,4,1,0.0
5,4,2,0.9642857142857143
9,0,0,0.0
9,0,1,0.0
9,0,2,4.0
2,3,0,0.0
2,3,1,0.0
2,3,2,0.0
9,4,0,0.0
9,4,1,0.0
9,4,2,0.0
5,8,0,0.0
5,8,1,0.0
5,8,2,0.0
3,5,0,0.0
3,5,1,0.0
3,5,2,0.0
3,3,0,0.0
3,3,1,0.0
3,3,2,0.0
4,4,0,0.0
4,4,1,0.0
4,4,2,0.0
0,1,0,0.0
0,1,1,0.0
0,1,2,0.0
11,3,0,0.0
11,3,1,0.0
11,3,2,1.9642857142857142
4,8,0,0.0
4,8,1,0.0
4,8,2,2.0
11,4,0,0.0
11,4,1,0.0
11,4,2,4.892857142857143
9,3,0,0.0
9,3,1,0.0
9,3,2,0.9285714285714286
4,10,0,0.0
4,10,1,0.0
4,10,2,4.0
3,2,0,0.0
3,2,1,0.0
3,2,2,0.0
11,0,0,0.0
11,0,1,1.0
11,0,2,1.0
5,6,0,0.0
5,6,1,0.0
5,6,2,0.0
1,2,0,0.0
1,2,1,0.0
1,2,2,0.0
4,7,0,0.0
4,7,1,0.0
4,7,2,0.0
1,4,0,0.0
1,4,1,0.0
1,4,2,0.0
13,3,0,0.0
13,3,1,1.0
13,3,2,3.9642857142857144
12,6,0,0.0
12,6,1,2.0
12,6,2,4.0
9,5,0,0.0
9,5,1,0.0
9,5,2,1.0
2,6,0,0.0
2,6,1,0.0
2,6,2,2.0
2,5,0,0.0
2,5,1,0.0
2,5,2,0.0
3,0,0,0.0
3,0,1,0.0
3,0,2,0.0
11,2,0,0.0
11,2,1,0.9642857142857143
11,2,2,0.9642857142857143
9,7,0,0.0
9,7,1,2.0
9,7,2,3.9642857142857144
0,3,0,0.0
0,3,1,0.0
0,3,2,0.0
2,7,0,0.0
2,7,1,0.0
2,7,2,2.0
4,6,0,0.0
4,6,1,0.0
4,6,2,0.0
0,0,0,0.0
0,0,1,0.0
0,0,2,0.0
6,8,0,0.0
6,8,1,0.0
6,8,2,0.0
11,1,0,0.0
11,1,1,0.9642857142857143
11,1,2,0.9642857142857143
7,6,0,0.0
7,6,1,0.0
7,6,2,2.0
8,3,0,0.0
8,3,1,0.0
8,3,2,0.0
1,3,0,0.0
1,3,1,0.0
1,3,2,2.0
12,1,0,0.0
12,1,1,0.9642857142857143
12,1,2,3.9642857142857144
8,0,0,0.0
8,0,1,0.0
8,0,2,1.0
10,2,0,0.0
10,2,1,0.0
10,2,2,2.9642857142857144
6,5,0,0.0
6,5,1,0.0
6,5,2,0.0
2,4,0,0.0
2,4,1,0.0
2,4,2,0.0
6,4,0,0.0
6,4,1,0.0
6,4,2,0.0
3,6,0,0.0
3,6,1,0.0
3,6,2,0.0
0,5,0,0.0
0,5,1,0.0
0,5,2,0.0
15,2,0,0.9642857142857143
15,2,1,0.9642857142857143
15,2,2,2.9642857142857144
10,8,0,0.0
10,8,1,1.0
10,8,2,6.0
7,5,0,0.0
7,5,1,0.0
7,5,2,0.0
6,3,0,0.0
6,3,1,0.0
6,3,2,0.0
13,1,0,0.0
13,1,1,0.0
13,1,2,2.0
2,2,0,0.0
2,2,1,0.0
2,2,2,0.0
4,3,0,0.0
4,3,1,0.0
4,3,2,0.0
10,4,0,0.0
10,4,1,0.0
10,4,2,1.0
0,2,0,0.0
0,2,1,0.0
0,2,2,0.0
7,4,0,0.0
7,4,1,0.0
7,4,2,0.0
4,1,0,0.0
4,1,1,0.0
4,1,2,0.0
6,9,0,0.0
6,9,1,0.0
6,9,2,0.0
7,2,0,0.0
7,2,1,0.0
7,2,2,0.0
6,0,0,0.0
6,0,1,0.0
6,0,2,0.0
1,1,0,0.0
1,1,1,0.0
1,1,2,0.0
3,12,0,0.0
3,12,1,2.0
3,12,2,5.0
12,2,0,0.0
12,2,1,0.0
12,2,2,2.0
0,4,0,0.0
0,4,1,0.0
0,4,2,0.0
1,5,0,0.0
1,5,1,0.0
1,5,2,0.0
9,2,0,0.0
9,2,1,0.0
9,2,2,0.9642857142857143
10,1,0,0.0
10,1,1,0.0
10,1,2,3.9642857142857144
10,0,0,0.9642857142857143
10,0,1,0.9642857142857143
10,0,2,2.9642857142857144
8,2,0,0.0
8,2,1,1.0
8,2,2,0.9642857142857143
8,4,0,0.0
8,4,1,0.0
8,4,2,0.0
12,4,0,0.0
12,4,1,0.0
12,4,2,2.0
5,5,0,0.0
5,5,1,0.0
5,5,2,0.0
0,6,0,0.0
0,6,1,0.0
0,6,2,2.0
6,1,0,0.0
6,1,1,1.0
6,1,2,2.0
14,1,0,0.0
14,1,1,0.0
14,1,2,5.0
7,1,0,0.0
7,1,1,0.0
7,1,2,1.0
7,3,0,0.0
7,3,1,0.9642857142857143
7,3,2,2.0
6,2,0,0.0
6,2,1,0.0
6,2,2,0.0
11,5,0,0.0
11,5,1,0.0
11,5,2,2.0
14,7,0,0.0
14,7,1,4.0
14,7,2,3.0
9,1,0,0.0
9,1,1,0.0
9,1,2,0.0
10,5,0,0.9642857142857143
10,5,1,0.9642857142857143
10,5,2,1.0
17,1,0,0.9642857142857143
17,1,1,0.9642857142857143
17,1,2,0.9642857142857143
2,0,0,0.0
2,0,1,0.0
2,0,2,0.0
5,2,0,0.0
5,2,1,0.0
5,2,2,0.0
14,0,0,0.0
14,0,1,0.0
14,0,2,0.0
11,6,0,0.8571428571428572
11,6,1,0.8571428571428572
11,6,2,2.9642857142857144
5,0,0,0.0
5,0,1,0.0
5,0,2,2.0
2,8,0,0.0
2,8,1,0.0
2,8,2,2.0
1,0,0,0.0
1,0,1,0.0
1,0,2,0.0
1,9,0,0.3571428571428571
1,9,1,0.3571428571428571
1,9,2,0.3571428571428571
8,8,0,0.0
8,8,1,0.0
8,8,2,4.0
5,9,0,0.0
5,9,1,0.0
5,9,2,5.0
8,5,0,0.0
8,5,1,0.0
8,5,2,1.0
8,9,0,2.0
8,9,1,2.0
8,9,2,4.0
5,3,0,0.0
5,3,1,0.0
5,3,2,2.0
12,3,0,0.0
12,3,1,1.0
